"project_key","branch","issue_key","rule","type","severity","status","resolution","message","component","file_path","line","effort","debt","author","assignee","tags","clean_code_attribute","security_impact","reliability_impact","maintainability_impact","creation_date","update_date","close_date"
"Tawuniya-CRM","DEV","5a3ea7d4-0102-441e-95ad-27fccaa50e07","css:S4661","BUG","MAJOR","CLOSED","FIXED","Unexpected unknown media feature name ""transform-3d""","Tawuniya-CRM:CrmApi/Tawuniya.Crm.Api.Service/Content/bootstrap.css","CrmApi/Tawuniya.Crm.Api.Service/Content/bootstrap.css",,"1min","1min","nhameed@tawuniya.com","naveed-saqib-abdul-hameed36499","","LOGICAL","","MEDIUM","","2024-02-10T23:44:26+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","de2a6410-3497-4af2-84a7-58b714a7a275","css:S4656","BUG","MAJOR","CLOSED","FIXED","Unexpected duplicate ""filter""","Tawuniya-CRM:CrmApi/Tawuniya.Crm.Api.Service/Content/bootstrap-theme.css","CrmApi/Tawuniya.Crm.Api.Service/Content/bootstrap-theme.css",,"1min","1min","nhameed@tawuniya.com","naveed-saqib-abdul-hameed36499","","LOGICAL","","MEDIUM","","2024-02-10T23:44:26+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","a2e99fdb-c5c7-47bc-aa2c-1127e4703171","css:S4656","BUG","MAJOR","CLOSED","FIXED","Unexpected duplicate ""text-decoration""","Tawuniya-CRM:CrmApi/Tawuniya.Crm.Api.Service/Content/bootstrap.css","CrmApi/Tawuniya.Crm.Api.Service/Content/bootstrap.css",,"1min","1min","nhameed@tawuniya.com","naveed-saqib-abdul-hameed36499","","LOGICAL","","MEDIUM","","2024-02-10T23:44:26+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","f87b62d0-0cc4-49b9-8826-12c5693927ac","Web:DoctypePresenceCheck","BUG","MAJOR","CLOSED","FIXED","Insert a <!DOCTYPE> declaration to before this <html> tag.","Tawuniya-CRM:Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Claim/vrp_GetClaimProgressTimelineFrame.html","Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Claim/vrp_GetClaimProgressTimelineFrame.html",,"5min","5min","dsedhom@tawuniya.com","david-wadih-sedhom18753","user-experience","CONVENTIONAL","","MEDIUM","","2026-04-22T15:06:59+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","512ca922-3d0f-494b-a09f-a83fbd7619e6","javascript:S3699","BUG","MAJOR","CLOSED","FIXED","Remove this use of the output from ""fo""; ""fo"" doesn't return anything.","Tawuniya-CRM:Customer360/VeriTouch.C360.WebResources/statistics_webpages.html","Customer360/VeriTouch.C360.WebResources/statistics_webpages.html",,"5min","5min","dsedhom@tawuniya.com","david-wadih-sedhom18753","","LOGICAL","","MEDIUM","","2026-04-22T15:06:59+0300","2026-07-29T12:38:23+0300","2026-07-29T12:38:23+0300"
"Tawuniya-CRM","DEV","81d3c105-676f-462d-8caf-f9669e48196a","javascript:S905","BUG","MAJOR","CLOSED","FIXED","Expected an assignment or function call and instead saw an expression.","Tawuniya-CRM:Customer360/VeriTouch.C360.WebResources/statistics_webpages.html","Customer360/VeriTouch.C360.WebResources/statistics_webpages.html",,"10min","10min","dsedhom@tawuniya.com","david-wadih-sedhom18753","cwe,unused","CLEAR","","MEDIUM","","2026-04-22T15:06:59+0300","2026-07-29T12:38:23+0300","2026-07-29T12:38:23+0300"
"Tawuniya-CRM","DEV","82556fc3-4246-48db-9041-46faad91510d","css:S4649","BUG","MAJOR","CLOSED","FIXED","Unexpected missing generic font family","Tawuniya-CRM:Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Salvage/vrp_GetMotorSalvage.html","Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Salvage/vrp_GetMotorSalvage.html",,"1min","1min","dsedhom@tawuniya.com","david-wadih-sedhom18753","","COMPLETE","","MEDIUM","","2026-04-22T15:06:59+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","51ea0708-f209-42a0-b1a3-41ca1a9d844c","Web:DoctypePresenceCheck","BUG","MAJOR","CLOSED","FIXED","Insert a <!DOCTYPE> declaration to before this <html> tag.","Tawuniya-CRM:Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Policy/vrp_DisplayPolicyRealTimeDataFields.html","Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Policy/vrp_DisplayPolicyRealTimeDataFields.html",,"5min","5min","dsedhom@tawuniya.com","david-wadih-sedhom18753","user-experience","CONVENTIONAL","","MEDIUM","","2026-04-22T15:06:59+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","f8f6a9a4-d2ae-4337-835c-7f65042d8665","Web:S5256","BUG","MAJOR","CLOSED","FIXED","Add ""<th>"" headers to this ""<table>"".","Tawuniya-CRM:Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Approval/vrp_DisplayApprovalHistoryRecords_CC.html","Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Approval/vrp_DisplayApprovalHistoryRecords_CC.html",,"2min","2min","dsedhom@tawuniya.com","david-wadih-sedhom18753","accessibility,wcag2-a","COMPLETE","","MEDIUM","","2026-04-22T15:06:59+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","94178e4a-595d-4079-a91f-7e1c77f14e3e","javascript:S905","BUG","MAJOR","CLOSED","FIXED","Expected an assignment or function call and instead saw an expression.","Tawuniya-CRM:Customer360/VeriTouch.C360.WebResources/statistics_webpages.html","Customer360/VeriTouch.C360.WebResources/statistics_webpages.html",,"10min","10min","dsedhom@tawuniya.com","david-wadih-sedhom18753","cwe,unused","CLEAR","","MEDIUM","","2026-04-22T15:06:59+0300","2026-07-29T12:38:23+0300","2026-07-29T12:38:23+0300"
"Tawuniya-CRM","DEV","127a8a5f-1ea5-42a9-931b-7b486966622f","Web:DoctypePresenceCheck","BUG","MAJOR","CLOSED","FIXED","Insert a <!DOCTYPE> declaration to before this <html> tag.","Tawuniya-CRM:Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Policy/vrp_GetPolicyStatusHistory.html","Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Policy/vrp_GetPolicyStatusHistory.html",,"5min","5min","dsedhom@tawuniya.com","david-wadih-sedhom18753","user-experience","CONVENTIONAL","","MEDIUM","","2026-04-22T15:06:59+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","a435b142-7df7-4a00-91ac-cdfc338bf590","javascript:S905","BUG","MAJOR","CLOSED","FIXED","Expected an assignment or function call and instead saw an expression.","Tawuniya-CRM:Customer360/VeriTouch.C360.WebResources/statistics_webpages.html","Customer360/VeriTouch.C360.WebResources/statistics_webpages.html",,"10min","10min","dsedhom@tawuniya.com","david-wadih-sedhom18753","cwe,unused","CLEAR","","MEDIUM","","2026-04-22T15:06:59+0300","2026-07-29T12:38:23+0300","2026-07-29T12:38:23+0300"
"Tawuniya-CRM","DEV","e3cd689c-251f-4fb6-afc9-1e1c6b76a88a","javascript:S905","BUG","MAJOR","CLOSED","FIXED","Expected an assignment or function call and instead saw an expression.","Tawuniya-CRM:Customer360/VeriTouch.C360.WebResources/statistics_webpages.html","Customer360/VeriTouch.C360.WebResources/statistics_webpages.html",,"10min","10min","dsedhom@tawuniya.com","david-wadih-sedhom18753","cwe,unused","CLEAR","","MEDIUM","","2026-04-22T15:06:59+0300","2026-07-29T12:38:23+0300","2026-07-29T12:38:23+0300"
"Tawuniya-CRM","DEV","d1e00ed9-a7e2-49b3-8fca-1c96e19401e8","javascript:S905","BUG","MAJOR","CLOSED","FIXED","Expected an assignment or function call and instead saw an expression.","Tawuniya-CRM:Customer360/VeriTouch.C360.WebResources/statistics_webpages.html","Customer360/VeriTouch.C360.WebResources/statistics_webpages.html",,"10min","10min","dsedhom@tawuniya.com","david-wadih-sedhom18753","cwe,unused","CLEAR","","MEDIUM","","2026-04-22T15:06:59+0300","2026-07-29T12:38:23+0300","2026-07-29T12:38:23+0300"
"Tawuniya-CRM","DEV","128681f2-00cc-45c5-b0ca-8ebf3a934383","Web:S5254","BUG","MAJOR","CLOSED","FIXED","Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element","Tawuniya-CRM:Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Claim/vrp_GetMedicalReimbursementHistory.html","Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Claim/vrp_GetMedicalReimbursementHistory.html",,"2min","2min","dsedhom@tawuniya.com","david-wadih-sedhom18753","accessibility,wcag2-a","COMPLETE","","MEDIUM","","2026-04-22T15:06:59+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","e3a4ad93-7f6e-44e7-a78b-9c69ead4392b","css:S4649","BUG","MAJOR","CLOSED","FIXED","Unexpected missing generic font family","Tawuniya-CRM:Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Policy/vrp_DisplayMotorInvoiceDocumentDetails.html","Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Policy/vrp_DisplayMotorInvoiceDocumentDetails.html",,"1min","1min","dsedhom@tawuniya.com","david-wadih-sedhom18753","","COMPLETE","","MEDIUM","","2026-04-22T15:06:59+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","1341af67-c79a-40e0-83a0-1f97e5480fb2","css:S4649","BUG","MAJOR","CLOSED","FIXED","Unexpected missing generic font family","Tawuniya-CRM:Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Claim/vrp_GetGeneralSettlements.html","Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Claim/vrp_GetGeneralSettlements.html",,"1min","1min","dsedhom@tawuniya.com","david-wadih-sedhom18753","","COMPLETE","","MEDIUM","","2026-04-22T15:06:59+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","9420e1ff-8adc-4219-8a8c-65da515e1015","javascript:S905","BUG","MAJOR","CLOSED","FIXED","Expected an assignment or function call and instead saw an expression.","Tawuniya-CRM:Customer360/VeriTouch.C360.WebResources/statistics_webpages.html","Customer360/VeriTouch.C360.WebResources/statistics_webpages.html",,"10min","10min","dsedhom@tawuniya.com","david-wadih-sedhom18753","cwe,unused","CLEAR","","MEDIUM","","2026-04-22T15:06:59+0300","2026-07-29T12:38:23+0300","2026-07-29T12:38:23+0300"
"Tawuniya-CRM","DEV","d1d2f540-3496-4abe-aea4-9cf35a25a4ff","css:S4649","BUG","MAJOR","CLOSED","FIXED","Unexpected missing generic font family","Tawuniya-CRM:Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/SMSHistory/vrp_DisplaySMSHistory.html","Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/SMSHistory/vrp_DisplaySMSHistory.html",,"1min","1min","dsedhom@tawuniya.com","david-wadih-sedhom18753","","COMPLETE","","MEDIUM","","2026-04-22T15:06:59+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","f28b2266-b966-4b18-bba8-3dcc695eb601","Web:UnsupportedTagsInHtml5Check","BUG","MAJOR","CLOSED","FIXED","Remove this deprecated ""center"" element.","Tawuniya-CRM:Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Surplus/vrp_CheckEligibilityStatus_GetSurplusDetails_CC.html","Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Surplus/vrp_CheckEligibilityStatus_GetSurplusDetails_CC.html",,"20min","20min","dsedhom@tawuniya.com","david-wadih-sedhom18753","html5,obsolete,user-experience","CONVENTIONAL","","MEDIUM","","2026-04-22T15:06:59+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","516cb63a-9cb7-4098-8917-e91d295b1971","Web:S5256","BUG","MAJOR","CLOSED","FIXED","Add ""<th>"" headers to this ""<table>"".","Tawuniya-CRM:Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Invoice/vrp_DisplayGeneralInvoiceDocumentDetails.html","Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Invoice/vrp_DisplayGeneralInvoiceDocumentDetails.html",,"2min","2min","dsedhom@tawuniya.com","david-wadih-sedhom18753","accessibility,wcag2-a","COMPLETE","","MEDIUM","","2026-04-22T15:06:59+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","397bd3c2-030f-474b-82bb-c4aab0108087","Web:S5256","BUG","MAJOR","CLOSED","FIXED","Add ""<th>"" headers to this ""<table>"".","Tawuniya-CRM:Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Approval/vrp_DisplayNaphiesSupportingInfoResult_CC.html","Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Approval/vrp_DisplayNaphiesSupportingInfoResult_CC.html",,"2min","2min","dsedhom@tawuniya.com","david-wadih-sedhom18753","accessibility,wcag2-a","COMPLETE","","MEDIUM","","2026-04-22T15:06:59+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","132d984a-e769-410e-a49d-8a7ea7a462ba","Web:S5254","BUG","MAJOR","CLOSED","FIXED","Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element","Tawuniya-CRM:Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Approval/vrp_DisplayNaphiesSupportingInfoResult_CC.html","Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Approval/vrp_DisplayNaphiesSupportingInfoResult_CC.html",,"2min","2min","dsedhom@tawuniya.com","david-wadih-sedhom18753","accessibility,wcag2-a","COMPLETE","","MEDIUM","","2026-04-22T15:06:59+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","eba0f990-3a80-40b4-b3ce-ed6641110997","javascript:S905","BUG","MAJOR","CLOSED","FIXED","Expected an assignment or function call and instead saw an expression.","Tawuniya-CRM:Customer360/VeriTouch.C360.WebResources/statistics_webpages.html","Customer360/VeriTouch.C360.WebResources/statistics_webpages.html",,"10min","10min","dsedhom@tawuniya.com","david-wadih-sedhom18753","cwe,unused","CLEAR","","MEDIUM","","2026-04-22T15:06:59+0300","2026-07-29T12:38:23+0300","2026-07-29T12:38:23+0300"
"Tawuniya-CRM","DEV","3985cc7e-64b7-45ae-ae3f-3d72e8c2bb61","css:S4649","BUG","MAJOR","CLOSED","FIXED","Unexpected missing generic font family","Tawuniya-CRM:Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Benefits/vrp_GetGeneralPolicyBenefits.html","Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Benefits/vrp_GetGeneralPolicyBenefits.html",,"1min","1min","dsedhom@tawuniya.com","david-wadih-sedhom18753","","COMPLETE","","MEDIUM","","2026-04-22T15:06:59+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","2454dbe3-2e35-4d50-8f33-f8c29dce0dae","javascript:S905","BUG","MAJOR","CLOSED","FIXED","Expected an assignment or function call and instead saw an expression.","Tawuniya-CRM:Customer360/VeriTouch.C360.WebResources/statistics_webpages.html","Customer360/VeriTouch.C360.WebResources/statistics_webpages.html",,"10min","10min","dsedhom@tawuniya.com","david-wadih-sedhom18753","cwe,unused","CLEAR","","MEDIUM","","2026-04-22T15:06:59+0300","2026-07-29T12:38:23+0300","2026-07-29T12:38:23+0300"
"Tawuniya-CRM","DEV","5160c89a-c967-4eb4-aca3-a62cfc729193","css:S4649","BUG","MAJOR","CLOSED","FIXED","Unexpected missing generic font family","Tawuniya-CRM:Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/CancellationRequest/vrp_GetPolicyCancellationRequests.html","Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/CancellationRequest/vrp_GetPolicyCancellationRequests.html",,"1min","1min","dsedhom@tawuniya.com","david-wadih-sedhom18753","","COMPLETE","","MEDIUM","","2026-04-22T15:06:59+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","131bbc70-6879-44ba-97af-f99abec4615b","javascript:S905","BUG","MAJOR","CLOSED","FIXED","Expected an assignment or function call and instead saw an expression.","Tawuniya-CRM:Customer360/VeriTouch.C360.WebResources/statistics_webpages.html","Customer360/VeriTouch.C360.WebResources/statistics_webpages.html",,"10min","10min","dsedhom@tawuniya.com","david-wadih-sedhom18753","cwe,unused","CLEAR","","MEDIUM","","2026-04-22T15:06:59+0300","2026-07-29T12:38:23+0300","2026-07-29T12:38:23+0300"
"Tawuniya-CRM","DEV","246c510a-0b7a-443a-9e7c-18f5db539192","javascript:S905","BUG","MAJOR","CLOSED","FIXED","Expected an assignment or function call and instead saw an expression.","Tawuniya-CRM:Customer360/VeriTouch.C360.WebResources/statistics_webpages.html","Customer360/VeriTouch.C360.WebResources/statistics_webpages.html",,"10min","10min","dsedhom@tawuniya.com","david-wadih-sedhom18753","cwe,unused","CLEAR","","MEDIUM","","2026-04-22T15:06:59+0300","2026-07-29T12:38:23+0300","2026-07-29T12:38:23+0300"
"Tawuniya-CRM","DEV","81e80448-7584-42a1-b790-7ea4a8028231","Web:UnsupportedTagsInHtml5Check","BUG","MAJOR","CLOSED","FIXED","Remove this deprecated ""center"" element.","Tawuniya-CRM:Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Surplus/vrp_CheckEligibilityStatus_GetSurplusDetails_CC.html","Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Surplus/vrp_CheckEligibilityStatus_GetSurplusDetails_CC.html",,"20min","20min","dsedhom@tawuniya.com","david-wadih-sedhom18753","html5,obsolete,user-experience","CONVENTIONAL","","MEDIUM","","2026-04-22T15:06:59+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","39277d6f-3c83-41f2-b986-607d3efb6882","javascript:S905","BUG","MAJOR","CLOSED","FIXED","Expected an assignment or function call and instead saw an expression.","Tawuniya-CRM:Customer360/VeriTouch.C360.WebResources/statistics_webpages.html","Customer360/VeriTouch.C360.WebResources/statistics_webpages.html",,"10min","10min","dsedhom@tawuniya.com","david-wadih-sedhom18753","cwe,unused","CLEAR","","MEDIUM","","2026-04-22T15:06:59+0300","2026-07-29T12:38:23+0300","2026-07-29T12:38:23+0300"
"Tawuniya-CRM","DEV","e3bee8a7-25b8-42cd-baf0-f13d6ab3abe3","css:S4649","BUG","MAJOR","CLOSED","FIXED","Unexpected missing generic font family","Tawuniya-CRM:Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Policy/vrp_GetPolicyEndorsements.html","Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Policy/vrp_GetPolicyEndorsements.html",,"1min","1min","dsedhom@tawuniya.com","david-wadih-sedhom18753","","COMPLETE","","MEDIUM","","2026-04-22T15:06:59+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","e3c536b7-cbd8-43cd-8dba-1778b2a13453","javascript:S905","BUG","MAJOR","CLOSED","FIXED","Expected an assignment or function call and instead saw an expression.","Tawuniya-CRM:Customer360/VeriTouch.C360.WebResources/statistics_webpages.html","Customer360/VeriTouch.C360.WebResources/statistics_webpages.html",,"10min","10min","dsedhom@tawuniya.com","david-wadih-sedhom18753","cwe,unused","CLEAR","","MEDIUM","","2026-04-22T15:06:59+0300","2026-07-29T12:38:23+0300","2026-07-29T12:38:23+0300"
"Tawuniya-CRM","DEV","12edbd6a-b262-41bf-9d44-aae120265dfd","Web:DoctypePresenceCheck","BUG","MAJOR","CLOSED","FIXED","Insert a <!DOCTYPE> declaration to before this <html> tag.","Tawuniya-CRM:Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Voucher/vrp_DisplayVoucherDetails_CC.html","Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Voucher/vrp_DisplayVoucherDetails_CC.html",,"5min","5min","dsedhom@tawuniya.com","david-wadih-sedhom18753","user-experience","CONVENTIONAL","","MEDIUM","","2026-04-22T15:06:59+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","e3eda33a-f713-4734-96d6-2c51e4ddff91","css:S4649","BUG","MAJOR","CLOSED","FIXED","Unexpected missing generic font family","Tawuniya-CRM:Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Benefits/vrp_GetMotorPolicyBenefits.html","Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Benefits/vrp_GetMotorPolicyBenefits.html",,"1min","1min","dsedhom@tawuniya.com","david-wadih-sedhom18753","","COMPLETE","","MEDIUM","","2026-04-22T15:06:59+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
"Tawuniya-CRM","DEV","51b1b504-b43d-4e91-9897-a835e662d90b","css:S4649","BUG","MAJOR","CLOSED","FIXED","Unexpected missing generic font family","Tawuniya-CRM:Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Claim/vrp_GetClaimRecoveryDetails.html","Customer360/Vrp.CRM.C360.WebResources/vrp_/HTML/Claim/vrp_GetClaimRecoveryDetails.html",,"1min","1min","dsedhom@tawuniya.com","david-wadih-sedhom18753","","COMPLETE","","MEDIUM","","2026-04-22T15:06:59+0300","2026-08-04T11:27:55+0300","2026-08-04T11:27:55+0300"
